GRIDSIZEKM,GRID_ID,STATE,AREA_SQKM,Albers_X,Albers_Y,Latitude,Longitude,Shape_Length,Shape_Area,GRTS_No,Sample,Surveyed2017,SiteType2017
15.000000000000000,11488.000000000000000,Wyoming,225,-1080634.491899999789894,2312229.269000000320375,43.118622639999998,-109.393631889999995,59999.999932830374746,224999999.496227800846100,Id-298,No,No,
15.000000000000000,11489.000000000000000,Wyoming,225,-1065880.562072042608634,2309523.431757791433483,43.113061549999998,-109.208499730000000,60000.000085307066911,225000000.639802962541580,Id-493,No,No,
15.000000000000000,12324.000000000000000,Idaho,225,-1533819.385227957507595,2502093.568992209155113,44.099031820000000,-115.354516169999997,60000.000282025794149,225000002.115193456411362,Id-022,Yes,Yes,Bait
15.000000000000000,12325.000000000000000,Idaho,225,-1519065.455400000326335,2499387.731750000268221,44.101895839999997,-115.166582910000002,60000.000129549101985,225000000.971618264913559,Id-037,Yes,Yes,Lure
15.000000000000000,12326.000000000000000,Idaho,225,-1504311.525657791178674,2496681.894527957309037,44.104493859999998,-114.978634569999997,59999.999852510562050,224999998.893829226493835,Id-438,No,No,
15.000000000000000,12327.000000000000000,Idaho,225,-1489557.595842209178954,2493976.057272042613477,44.106825850000000,-114.790672599999994,60000.000245948023803,225000001.844610184431076,Id-588,No,No,
15.000000000000000,12328.000000000000000,Idaho,225,-1474803.666022042976692,2491270.220057790633291,44.108891790000001,-114.602698470000007,60000.000049228627176,225000000.369214653968811,Id-376,No,No,
15.000000000000000,12333.000000000000000,Idaho,225,-1401034.016950000077486,2477741.033900000154972,44.115229730000003,-113.662696969999999,59999.999968908814481,224999999.766816109418869,Id-098,Yes,Yes,Bait
15.000000000000000,12336.000000000000000,Idaho,225,-1356772.227507791016251,2469623.522227956447750,44.115838560000000,-113.098644340000007,60000.000049229289289,225000000.369219690561295,Id-316,No,No,
15.000000000000000,12348.000000000000000,Wyoming,225,-1179725.069772042566910,2437153.475507790688425,44.094321540000003,-110.842928729999997,60000.000049228627176,225000000.369214683771133,Id-118,Yes,Yes,Bait
15.000000000000000,11951.000000000000000,Idaho,225,-1556690.826749999774620,2460537.616799999959767,43.692572550000001,-115.528837220000000,59999.999968908814481,224999999.766816109418869,Id-335,No,No,
15.000000000000000,11952.000000000000000,Idaho,225,-1541936.896920166211203,2457831.779564252123237,43.695681690000001,-115.342028110000001,60000.000165628218383,225000001.242211610078812,Id-129,Yes,Yes,Bait
15.000000000000000,11953.000000000000000,Idaho,225,-1527182.967107790987939,2455125.942327957134694,43.698526630000003,-115.155202720000005,60000.000049229289289,225000000.369219720363617,Id-193,No,No,
15.000000000000000,11954.000000000000000,Idaho,225,-1512429.037299999967217,2452420.105100000277162,43.701107360000002,-114.968362510000006,59999.999932831713522,224999999.496237874031067,Id-146,Yes,Yes,Bait
15.000000000000000,11955.000000000000000,Idaho,225,-1497675.107514251489192,2449714.267879833467305,43.703423819999998,-114.781508919999993,59999.999968910982716,224999999.766832351684570,Id-592,No,No,
15.000000000000000,11956.000000000000000,Idaho,225,-1482921.177735748235136,2447008.430620166473091,43.705475989999997,-114.594643379999994,60000.000165629709954,225000001.242222845554352,Id-066,Yes,Yes,Bait
